state,year,income
AK,1999,51396
AK,2000,52847
AK,2001,57363
AK,2002,52774
AK,2003,51837
AK,2004,55063
AK,2005,55891
AK,2006,56418
AK,2007,62993
AK,2008,63989
AK,2009,61604
AK,2010,57848
AK,2011,57431
AK,2012,63648
AK,2013,72472
AL,1999,36251
AL,2000,35424
AL,2001,35160
AL,2002,37603
AL,2003,37255
AL,2004,36629
AL,2005,37150
AL,2006,37952
AL,2007,42212
AL,2008,44476
AL,2009,39980
AL,2010,40933
AL,2011,42590
AL,2012,43464
AL,2013,47320
AR,1999,29682
AR,2000,29697
AR,2001,33339
AR,2002,32387
AR,2003,32002
AR,2004,34984
AR,2005,36658
AR,2006,37057
AR,2007,40795
AR,2008,39586
AR,2009,36538
AR,2010,38587
AR,2011,41302
AR,2012,39018
AR,2013,39376
AZ,1999,36995
AZ,2000,39783
AZ,2001,42704
AZ,2002,39734
AZ,2003,41166
AZ,2004,43846
AZ,2005,45245
AZ,2006,46657
AZ,2007,47215
AZ,2008,46914
AZ,2009,45739
AZ,2010,46896
AZ,2011,48621
AZ,2012,47044
AZ,2013,52611
CA,1999,43629
CA,2000,46816
CA,2001,47262
CA,2002,47437
CA,2003,49300
CA,2004,49222
CA,2005,51755
CA,2006,55319
CA,2007,55734
CA,2008,57014
CA,2009,56134
CA,2010,54283
CA,2011,53367
CA,2012,57020
CA,2013,60794
CO,1999,48177
CO,2000,48240
CO,2001,49397
CO,2002,48294
CO,2003,49940
CO,2004,50886
CO,2005,50449
CO,2006,55697
CO,2007,61141
CO,2008,60943
CO,2009,55930
CO,2010,60233
CO,2011,58629
CO,2012,57255
CO,2013,67912
CT,1999,50593
CT,2000,50172
CT,2001,53347
CT,2002,53387
CT,2003,54965
CT,2004,55100
CT,2005,56835
CT,2006,62404
CT,2007,64141
CT,2008,64682
CT,2009,64851
CT,2010,65998
CT,2011,65415
CT,2012,64247
CT,2013,69291
DC,1999,38670
DC,2000,41222
DC,2001,41169
DC,2002,39070
DC,2003,45044
DC,2004,43451
DC,2005,44993
DC,2006,48477
DC,2007,50783
DC,2008,55590
DC,2009,53141
DC,2010,56928
DC,2011,55251
DC,2012,65246
DC,2013,60057
DE,1999,46628
DE,2000,50365
DE,2001,49602
DE,2002,49650
DE,2003,49019
DE,2004,48049
DE,2005,51235
DE,2006,52438
DE,2007,54589
DE,2008,50702
DE,2009,52114
DE,2010,55214
DE,2011,54660
DE,2012,48972
DE,2013,54091
FL,1999,35831
FL,2000,38856
FL,2001,36421
FL,2002,38024
FL,2003,38972
FL,2004,40535
FL,2005,42990
FL,2006,45676
FL,2007,45794
FL,2008,44857
FL,2009,45631
FL,2010,44066
FL,2011,45105
FL,2012,46071
FL,2013,48532
GA,1999,39425
GA,2000,41901
GA,2001,42576
GA,2002,42939
GA,2003,42438
GA,2004,40984
GA,2005,45926
GA,2006,49344
GA,2007,48641
GA,2008,46227
GA,2009,43340
GA,2010,44117
GA,2011,45973
GA,2012,48121
GA,2013,46992
HI,1999,44504
HI,2000,51546
HI,2001,47439
HI,2002,47303
HI,2003,51834
HI,2004,56242
HI,2005,59586
HI,2006,60470
HI,2007,64022
HI,2008,61521
HI,2009,55649
HI,2010,59539
HI,2011,59047
HI,2012,56263
HI,2013,64235
IA,1999,41098
IA,2000,40991
IA,2001,40976
IA,2002,41049
IA,2003,41384
IA,2004,43391
IA,2005,46500
IA,2006,48126
IA,2007,48908
IA,2008,50142
IA,2009,50721
IA,2010,49016
IA,2011,50219
IA,2012,53442
IA,2013,60156
ID,1999,35800
ID,2000,37611
ID,2001,38241
ID,2002,37715
ID,2003,42372
ID,2004,44358
ID,2005,44176
ID,2006,46213
ID,2007,49184
ID,2008,47420
ID,2009,46778
ID,2010,47050
ID,2011,47459
ID,2012,47922
ID,2013,48467
IL,1999,46330
IL,2000,46064
IL,2001,46171
IL,2002,42710
IL,2003,45153
IL,2004,46077
IL,2005,48398
IL,2006,48671
IL,2007,52506
IL,2008,53254
IL,2009,52870
IL,2010,50728
IL,2011,50637
IL,2012,51738
IL,2013,53937
IN,1999,40838
IN,2000,40865
IN,2001,40379
IN,2002,41047
IN,2003,42425
IN,2004,42329
IN,2005,42437
IN,2006,45407
IN,2007,47453
IN,2008,46520
IN,2009,44305
IN,2010,46139
IN,2011,44445
IN,2012,46158
IN,2013,49455
KS,1999,37348
KS,2000,41059
KS,2001,41415
KS,2002,42619
KS,2003,44232
KS,2004,41066
KS,2005,42027
KS,2006,45552
KS,2007,48497
KS,2008,47877
KS,2009,44717
KS,2010,46054
KS,2011,46147
KS,2012,50003
KS,2013,47820
KY,1999,33738
KY,2000,36265
KY,2001,38437
KY,2002,36762
KY,2003,36936
KY,2004,35610
KY,2005,36699
KY,2006,39485
KY,2007,39452
KY,2008,41148
KY,2009,42664
KY,2010,41104
KY,2011,39856
KY,2012,41086
KY,2013,44879
LA,1999,32654
LA,2000,30718
LA,2001,33322
LA,2002,34008
LA,2003,33507
LA,2004,36429
LA,2005,37236
LA,2006,36488
LA,2007,41313
LA,2008,39563
LA,2009,45433
LA,2010,39300
LA,2011,40658
LA,2012,39085
LA,2013,46425
MA,1999,44005
MA,2000,46753
MA,2001,52253
MA,2002,49855
MA,2003,50955
MA,2004,52019
MA,2005,56017
MA,2006,55330
MA,2007,58463
MA,2008,60320
MA,2009,59373
MA,2010,60934
MA,2011,63313
MA,2012,63656
MA,2013,62529
MD,1999,52205
MD,2000,54535
MD,2001,53530
MD,2002,56407
MD,2003,52314
MD,2004,57103
MD,2005,60512
MD,2006,63668
MD,2007,65630
MD,2008,63711
MD,2009,64186
MD,2010,64201
MD,2011,68876
MD,2012,71836
MD,2013,69353
ME,1999,38862
ME,2000,37266
ME,2001,36612
ME,2002,36853
ME,2003,37113
ME,2004,41329
ME,2005,43923
ME,2006,45642
ME,2007,47894
ME,2008,47228
ME,2009,47502
ME,2010,47931
ME,2011,49693
ME,2012,49158
ME,2013,54957
MI,1999,46089
MI,2000,45512
MI,2001,45047
MI,2002,42715
MI,2003,45022
MI,2004,42256
MI,2005,45933
MI,2006,48647
MI,2007,49370
MI,2008,49788
MI,2009,45994
MI,2010,46276
MI,2011,48879
MI,2012,50015
MI,2013,56567
MN,1999,47038
MN,2000,54251
MN,2001,52681
MN,2002,54622
MN,2003,52823
MN,2004,56104
MN,2005,54215
MN,2006,56211
MN,2007,58058
MN,2008,54925
MN,2009,56090
MN,2010,52321
MN,2011,57820
MN,2012,61795
MN,2013,64324
MO,1999,41383
MO,2000,45097
MO,2001,41339
MO,2002,42776
MO,2003,43762
MO,2004,42137
MO,2005,42986
MO,2006,44579
MO,2007,46005
MO,2008,46038
MO,2009,48769
MO,2010,45817
MO,2011,45774
MO,2012,49764
MO,2013,46303
MS,1999,32478
MS,2000,34299
MS,2001,30161
MS,2002,30882
MS,2003,32728
MS,2004,34755
MS,2005,32875
MS,2006,34733
MS,2007,37279
MS,2008,36446
MS,2009,35078
MS,2010,38160
MS,2011,41090
MS,2012,36641
MS,2013,32338
MT,1999,31038
MT,2000,32777
MT,2001,32126
MT,2002,34835
MT,2003,34108
MT,2004,33956
MT,2005,37313
MT,2006,41105
MT,2007,43655
MT,2008,42900
MT,2009,40437
MT,2010,41280
MT,2011,40277
MT,2012,45088
MT,2013,43201
NC,1999,37254
NC,2000,38317
NC,2001,38162
NC,2002,36515
NC,2003,37279
NC,2004,40238
NC,2005,42056
NC,2006,39797
NC,2007,43513
NC,2008,42930
NC,2009,41906
NC,2010,43830
NC,2011,45206
NC,2012,41553
NC,2013,46337
ND,1999,32663
ND,2000,35996
ND,2001,35793
ND,2002,36200
ND,2003,40410
ND,2004,39220
ND,2005,42192
ND,2006,41047
ND,2007,47205
ND,2008,49631
ND,2009,50075
ND,2010,51006
ND,2011,56361
ND,2012,55766
ND,2013,59152
NE,1999,38626
NE,2000,41750
NE,2001,43611
NE,2002,42796
NE,2003,43974
NE,2004,43786
NE,2005,47923
NE,2006,48145
NE,2007,49174
NE,2008,50728
NE,2009,49595
NE,2010,52504
NE,2011,55616
NE,2012,52196
NE,2013,57623
NH,1999,46055
NH,2000,50926
NH,2001,51331
NH,2002,55321
NH,2003,55567
NH,2004,56815
NH,2005,56984
NH,2006,61970
NH,2007,67576
NH,2008,66176
NH,2009,64131
NH,2010,66633
NH,2011,65880
NH,2012,67819
NH,2013,69099
NJ,1999,49734
NJ,2000,50405
NJ,2001,51771
NJ,2002,54568
NJ,2003,56045
NJ,2004,55275
NJ,2005,63368
NJ,2006,68059
NJ,2007,60508
NJ,2008,65306
NJ,2009,64777
NJ,2010,62968
NJ,2011,62338
NJ,2012,66692
NJ,2013,63754
NM,1999,32574
NM,2000,35093
NM,2001,33124
NM,2002,35457
NM,2003,35105
NM,2004,39562
NM,2005,38947
NM,2006,40028
NM,2007,44356
NM,2008,42102
NM,2009,43542
NM,2010,45134
NM,2011,41982
NM,2012,43424
NM,2013,40166
NV,1999,41461
NV,2000,45758
NV,2001,45403
NV,2002,44958
NV,2003,45184
NV,2004,47204
NV,2005,48209
NV,2006,52282
NV,2007,54058
NV,2008,54744
NV,2009,51434
NV,2010,51200
NV,2011,47043
NV,2012,47333
NV,2013,51846
NY,1999,39989
NY,2000,40744
NY,2001,42114
NY,2002,41966
NY,2003,42788
NY,2004,44649
NY,2005,47176
NY,2006,48222
NY,2007,48944
NY,2008,50461
NY,2009,50216
NY,2010,49781
NY,2011,50636
NY,2012,47680
NY,2013,49966
OH,1999,39489
OH,2000,42962
OH,2001,41785
OH,2002,42684
OH,2003,43520
OH,2004,43055
OH,2005,44203
OH,2006,45900
OH,2007,49099
OH,2008,46934
OH,2009,45879
OH,2010,45886
OH,2011,44648
OH,2012,44375
OH,2013,50748
OK,1999,32683
OK,2000,32432
OK,2001,35609
OK,2002,36458
OK,2003,35902
OK,2004,39614
OK,2005,37645
OK,2006,38838
OK,2007,43216
OK,2008,46111
OK,2009,45878
OK,2010,43103
OK,2011,48455
OK,2012,48407
OK,2013,46162
OR,1999,40619
OR,2000,42499
OR,2001,41273
OR,2002,41802
OR,2003,41638
OR,2004,40994
OR,2005,44159
OR,2006,47091
OR,2007,50236
OR,2008,51727
OR,2009,49098
OR,2010,50602
OR,2011,51526
OR,2012,51775
OR,2013,48999
PA,1999,37758
PA,2000,42176
PA,2001,43499
PA,2002,42498
PA,2003,42933
PA,2004,44106
PA,2005,46300
PA,2006,48477
PA,2007,48437
PA,2008,51402
PA,2009,48172
PA,2010,48314
PA,2011,49910
PA,2012,51904
PA,2013,55156
RI,1999,42719
RI,2000,42197
RI,2001,45723
RI,2002,42417
RI,2003,44711
RI,2004,47935
RI,2005,49484
RI,2006,53736
RI,2007,54210
RI,2008,53241
RI,2009,51634
RI,2010,51623
RI,2011,49033
RI,2012,56065
RI,2013,56323
SC,1999,36462
SC,2000,37570
SC,2001,37736
SC,2002,37812
SC,2003,38479
SC,2004,38691
SC,2005,40230
SC,2006,39617
SC,2007,44213
SC,2008,42155
SC,2009,41101
SC,2010,41698
SC,2011,40084
SC,2012,44401
SC,2013,43563
SD,1999,35828
SD,2000,36475
SD,2001,39671
SD,2002,37873
SD,2003,39522
SD,2004,41107
SD,2005,43151
SD,2006,45427
SD,2007,46418
SD,2008,51600
SD,2009,45826
SD,2010,45352
SD,2011,47223
SD,2012,49415
SD,2013,53413
TN,1999,36522
TN,2000,34096
TN,2001,35783
TN,2002,37030
TN,2003,37523
TN,2004,38072
TN,2005,39406
TN,2006,40693
TN,2007,41195
TN,2008,39702
TN,2009,40517
TN,2010,38591
TN,2011,42279
TN,2012,42995
TN,2013,43361
TX,1999,38688
TX,2000,38609
TX,2001,40860
TX,2002,40149
TX,2003,39271
TX,2004,41397
TX,2005,41422
TX,2006,43307
TX,2007,46053
TX,2008,46490
TX,2009,47475
TX,2010,47266
TX,2011,49047
TX,2012,51926
TX,2013,51406
UT,1999,46050
UT,2000,47550
UT,2001,47342
UT,2002,47861
UT,2003,49275
UT,2004,50871
UT,2005,54813
UT,2006,54628
UT,2007,53529
UT,2008,62537
UT,2009,58491
UT,2010,56701
UT,2011,55493
UT,2012,58341
UT,2013,61047
VA,1999,45693
VA,2000,47163
VA,2001,50241
VA,2002,49631
VA,2003,54783
VA,2004,51141
VA,2005,51914
VA,2006,57119
VA,2007,59161
VA,2008,61985
VA,2009,60501
VA,2010,60367
VA,2011,62616
VA,2012,64632
VA,2013,65907
VT,1999,41584
VT,2000,39594
VT,2001,40794
VT,2002,42999
VT,2003,43261
VT,2004,47329
VT,2005,50704
VT,2006,51981
VT,2007,47390
VT,2008,50706
VT,2009,52318
VT,2010,55928
VT,2011,51862
VT,2012,55582
VT,2013,65513
WA,1999,45473
WA,2000,42525
WA,2001,42490
WA,2002,45183
WA,2003,47508
WA,2004,49922
WA,2005,50646
WA,2006,54723
WA,2007,58080
WA,2008,56631
WA,2009,60392
WA,2010,56163
WA,2011,56850
WA,2012,62187
WA,2013,63922
WI,1999,45667
WI,2000,45088
WI,2001,45346
WI,2002,45903
WI,2003,46269
WI,2004,45732
WI,2005,44650
WI,2006,51692
WI,2007,51277
WI,2008,51200
WI,2009,51237
WI,2010,50351
WI,2011,52058
WI,2012,53079
WI,2013,51726
WV,1999,29297
WV,2000,29411
WV,2001,29673
WV,2002,29359
WV,2003,32763
WV,2004,33373
WV,2005,36445
WV,2006,38419
WV,2007,42091
WV,2008,37994
WV,2009,40490
WV,2010,42777
WV,2011,41821
WV,2012,43553
WV,2013,43069
WY,1999,37248
WY,2000,39629
WY,2001,39719
WY,2002,39763
WY,2003,42555
WY,2004,45397
WY,2005,44718
WY,2006,47041
WY,2007,48744
WY,2008,53337
WY,2009,52470
WY,2010,52201
WY,2011,54509
WY,2012,57512
WY,2013,67441
